YRESID,CCODE,PWEIGHT_1,PRETEST,YIMODE,YQ8,YQ9_a,YQ9_b,YQ9_c,YQ9_d,YQ10_a,YQ10_b,YQ10_c,YQ10_d,YQ10_e,YQ10_f,YQ10_g,YQ10_h,YQ10_i,YQ14a_1,YQ14a_2,YQ14a_3,YQ14a_4,YQ14a_5,YQ14a_6,YQ14a_7,YQ14a_8,YQ14a_9,YQ14a_10,YQ14b,YQ21_c,YQ21_f,YQ28_mother,YQ28_father,YQ28a_0,YQ28a_1,YQ28a_2,YQ28a_3,YQ28a_4,YQ28a_5,YQ28a_6,YQ28a_7,YQ28a_8,YQ28d,YQ42,YQCONTACT,PMCORD,PMIMODE,PMQ10,PMQ11_a,PMQ11_b,PMQ11_c,PMQ11_d,PMQ18_c,PMQ18_f,PFCORD,PFIMODE,PFQ10,PFQ11_a,PFQ11_b,PFQ11_c,PFQ11_d,PFQ18_c,PFQ18_f
10400073,1040,1.15725009911084,,1,4,4,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,1,1,0,0,0,0,0,1,2,1,,,,,,,,,,1,2,1,4,4,4,2,4,2
10400074,1040,0.924504413166183,,1,2,3,2,3,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4,2,1,1,1,0,1,0,0,0,0,0,0,0,,2,2,,,,,,,,,,,,,,,,,,
10400075,1040,0.601362427208643,,1,3,4,4,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,4,1,1,1,1,0,0,0,0,0,0,0,0,,2,2,,,,,,,,,,,,,,,,,,
10400076,1040,0.33271578238853,,1,1,2,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,3,4,1,1,0,0,1,1,1,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,
10400077,1040,0.892457707915621,,1,2,4,4,4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,2,1,1,0,1,0,0,0,0,0,0,0,,1,2,,,,,,,,,,,,,,,,,,
10400078,1040,1.27919595136542,,1,3,4,4,4,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,3,1,1,1,0,1,0,0,0,0,0,0,0,,2,2,,,,,,,,,,,,,,,,,,
10400079,1040,0.91166698998518,,1,4,4,4,4,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,1,0,0,0,0,0,0,0,,1,2,,,,,,,,,,,,,,,,,,
10400080,1040,0.601362427208643,,1,3,4,4,4,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,1,1,1,0,0,0,0,0,0,0,0,,2,2,,,,,,,,,,,,,,,,,,
10400081,1040,0.601362427208643,,1,3,4,4,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,3,1,1,0,1,0,0,0,0,0,0,0,,2,1,,,,,,,,,,,,,,,,,,
10400082,1040,0.33271578238853,,1,2,3,1,4,,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,5,3,3,1,2,0,1,0,0,0,0,0,0,0,,2,1,,,,,,,,,,,,,,,,,,
